lon,lat,verified
11.96852,57.6931,1
11.824563,57.761493,1
18.74862,60.16437,1
12.837845,55.389764,1
12.80739,59.14898,1
13.56428,55.60542,1
14.015406,58.738228,1
17.32118,62.51171,1
18.0196,62.58786,1
15.98187,58.77539,1
12.50645,56.88192,1
13.062649,56.637493,1
17.03385,59.375566,1
15.154285,56.345699,1
17.634069,59.858145,1
14.982451,60.731083,1
16.443676,56.541324,1
15.169974,59.074169,1
15.5924,60.07035,1
12.43775,57.8614,1
13.7333,56.19255,1
13.35809,63.32195,1
15.88724,60.46417,1
12.84587,59.12992,1
16.60338,62.42283,1
16.45714,58.77592,1
15.5211,58.40619,1
15.991632,60.277594,1
18.84375,59.99376,1
13.597923,60.004227,1
17.923365,59.537453,1
12.48291,56.8876,1
12.40808,58.70986,1
18.206186,57.286532,1
18.64262,59.81903,1
14.4434,59.25748,1
18.58721,59.37316,1
15.24527,59.39094,1
12.402222,55.978333,1
14.54687,58.63189,1
13.49796,60.1898,1
18.81038,60.0998,1
15.832681,56.095252,1
15.60925,56.18389,1
13.245393,55.876829,1
16.1489,58.69478,1
12.81777,59.13359,1
14.42039,56.31498,1
16.53616,60.58488,1
11.66403,58.12872,1
16.14717,58.72133,1
15.62733,58.39944,1
17.454873,60.573094,1
15.154647,59.121124,1
13.05492,59.20592,1
17.050375,61.303658,1
8.761944,55.328333,1
14.78419,56.25843,1
15.64148,58.40893,1
15.65309,62.52332,1
13.745566,56.191083,1
10.216389,59.131111,1
15.53085,58.48954,1
14.29041,56.19278,1
9.141111,55.482222,1
12.340704,58.664859,1
13.50292,58.19731,1
16.17261,58.66369,1
11.95948,58.33586,1
12.17225,57.74495,1
12.47561,58.72416,1
13.492693,58.269482,1
14.02539,59.668425,1
11.8226,58.06855,1
18.20151,57.60001,1
16.1156,58.624,1
15.17716,59.24342,1
11.83872,58.08681,1
13.09131,63.40037,1
13.658539,56.342768,1
9.257222,56.9675,1
12.97393,56.69551,1
15.22983,60.55542,1
18.01807,62.61491,1
13.20051,55.76591,1
14.069312,61.851961,1
17.01201,59.36289,1
15.72318,60.42118,1
12.48079,58.77521,1
14.68639,56.36801,1
11.80224,58.06706,1
15.65834,56.19864,1
15.60509,58.39181,1
12.928711,63.392857,1
16.11829,59.28392,1
12.835168,56.433477,1
17.61854,59.81966,1
15.57859,56.22387,1
27.825833,62.179167,1
17.137796,60.672789,1
13.6017,55.56711,1
15.76096,60.59234,1
12.54533,63.41576,1
15.04037,59.3883,1
15.841462,59.394226,1
14.48065,59.60659,1
15.10818,56.24762,1
14.047174,55.492511,1
16.00485,59.29296,1
16.01372,58.91782,1
18.21826,59.42687,1
14.398662,58.658764,1
13.350436,58.5602,1
11.25914,58.69046,1
17.75224,59.32423,1
15.14581,59.12774,1
12.91586,59.09471,1
15.99016,58.18831,1
16.42958,62.56252,1
12.01153,57.68273,1
9.940556,57.27,1
16.01455,58.76214,1
15.5805,59.01488,1
16.89559,60.61744,1
13.02043,56.68885,1
18.78973,60.16179,1
16.23075,58.5971,1
16.429118,56.45856,1
13.60499,55.90656,1
16.7962,59.16173,1
17.24644,63.13524,1
12.48643,56.91055,1
17.18678,63.2152,1
14.902221,58.881357,1
14.79627,58.7535,1
11.175614,58.938115,1
12.939299,57.722234,1
12.55593,56.86838,1
12.279086,58.278839,1
13.94351,58.75514,1
15.746352,60.345391,1
11.95994,57.66893,1
13.04894,58.09133,1
28.390556,64.130556,1
12.50805,56.89638,1
13.40664,57.803,1
16.82696,59.08385,1
12.46078,58.69888,1
12.41913,58.71111,1
13.51811,55.96819,1
9.6912,62.5943,1
12.85945,55.93063,1
18.67252,57.57645,1
14.87622,58.27493,1
12.22916,59.02862,1
12.93046,63.39243,1
11.8452,58.06754,1
12.849948,55.41965,1
14.69562,58.38355,1
16.58072,59.08488,1
15.23686,59.38556,1
12.532185,57.931004,1
17.04751,62.30818,1
17.0331,59.34847,1
15.97247,58.51361,1
11.70218,58.34361,1
12.841103,55.98576,1
11.84967,58.06306,1
13.06121,55.59097,1
12.85476,55.9643,1
18.455383,57.769742,1
11.941282,57.616402,1
12.66851,59.09134,1
17.13497,61.27671,1
15.85636,58.72987,1
12.43235,58.75243,1
16.994317,59.101936,1
12.45284,57.70408,1
16.08059,59.39386,1
13.61547,60.03093,1
18.7053,59.759252,1
10.548611,56.286389,1
16.00576,58.78693,1
11.940152,58.347861,1
13.15813,58.68001,1
15.616815,58.411121,1
25.981389,63.681111,1
15.19672,59.28576,1
13.50622,59.37654,1
12.91661,56.40734,1
16.540739,59.61238,1
12.677215,56.782559,1
14.778506,59.783973,1
15.9024,60.47716,1
16.0027,58.20029,1
18.35211,57.60263,1
17.6253,59.87828,1
18.439301,60.339825,1
13.822042,58.712489,1
12.323567,59.030864,1
13.61024,60.02993,1
13.02381,63.75231,1
12.83471,56.27568,1
17.97561,62.6258,1
13.4883,59.96836,1
12.85582,56.14302,1
19.04157,59.77227,1
11.85445,58.06201,1
11.99891,57.70337,1
10.465,56.286944,1
11.94805,57.67772,1
12.82413,59.1611,1
14.48181,59.60585,1
12.12543,57.35042,1
13.02351,55.59028,1
14.27814,55.47339,1
14.000812,56.3807,1
13.109104,55.774288,1
14.66662,58.33411,1
13.70373,55.63314,1
14.1523,55.72912,1
12.489298,56.902094,1
16.09558,59.42363,1
17.625777,59.198477,1
11.90433,58.1307,1
15.25151,56.25552,1
13.73229,55.91852,1
17.07841,58.77407,1
17.57657,60.61026,1
13.88426,55.96328,1
13.93721,55.93126,1
13.20693,55.66957,1
13.80796,56.14523,1
14.20161,55.5935,1
17.38003,59.66635,1
13.864981,60.068702,1
13.82299,63.7137,1
14.94771,59.30621,1
17.38939,59.68455,1
18.150885,57.440825,1
16.459866,56.577145,1
12.42924,58.72623,1
18.49245,59.25194,1
17.04473,61.29908,1
14.1232,55.59811,1
13.59564,60.03809,1
12.74601,56.02206,1
17.855396,59.855955,1
13.505989,59.381584,1
12.99896,60.34239,1
15.68154,59.14256,1
15.73871,56.2393,1
13.49126,55.71739,1
